iter	Passed	Remaining
402	12839	6276
403	12879	6248
404	12916	6218
405	12956	6191
406	13001	6165
407	13043	6138
408	13085	6110
409	13132	6085
410	13167	6055
411	13200	6023
412	13231	5990
413	13259	5957
414	13289	5924
415	13317	5890
416	13348	5858
417	13380	5826
418	13407	5791
419	13435	5758
420	13465	5725
421	13494	5691
422	13524	5658
423	13551	5625
424	13582	5592
425	13608	5558
426	13633	5523
427	13660	5489
428	13689	5456
429	13721	5424
430	13753	5392
431	13786	5361
432	13816	5328
433	13845	5295
434	13875	5263
435	13905	5230
436	13932	5196
437	13962	5164
438	13989	5130
439	14019	5097
440	14048	5065
441	14074	5031
442	14102	4997
443	14128	4964
444	14154	4930
445	14182	4897
446	14211	4864
447	14238	4830
448	14263	4796
449	14294	4764
450	14335	4736
451	14369	4705
452	14402	4673
453	14433	4641
454	14465	4610
455	14495	4577
456	14528	4546
457	14557	4513
458	14583	4479
459	14616	4448
460	14648	4416
461	14680	4384
462	14705	4351
463	14733	4318
464	14762	4285
465	14790	4253
466	14819	4220
467	14847	4187
468	14878	4155
469	14909	4123
470	14938	4091
471	14969	4059
472	14997	4026
473	15026	3994
474	15051	3960
475	15078	3927
476	15105	3895
477	15132	3862
478	15160	3829
479	15186	3796
480	15214	3764
481	15240	3731
482	15265	3697
483	15291	3664
484	15319	3632
485	15346	3599
486	15371	3566
487	15397	3533
488	15424	3501
489	15453	3469
490	15479	3436
491	15507	3404
492	15533	3371
493	15562	3339
494	15591	3307
495	15620	3275
496	15651	3243
497	15681	3211
498	15714	3180
499	15743	3148
500	15770	3116
501	15799	3084
502	15829	3052
503	15857	3020
504	15885	2988
505	15915	2956
506	15944	2924
507	15974	2893
508	15999	2860
509	16028	2828
510	16055	2796
511	16081	2764
512	16108	2731
513	16139	2700
514	16168	2668
515	16193	2636
516	16227	2605
517	16258	2573
518	16288	2542
519	16315	2510
520	16344	2478
521	16377	2447
522	16407	2415
523	16441	2384
524	16476	2353
525	16516	2323
526	16560	2293
527	16602	2263
528	16634	2232
529	16661	2200
530	16691	2168
531	16724	2137
532	16754	2106
533	16783	2074
534	16808	2042
535	16835	2010
536	16863	1978
537	16891	1946
538	16921	1915
539	16946	1882
540	16974	1851
541	17003	1819
542	17032	1787
543	17060	1756
544	17088	1724
545	17116	1692
546	17144	1661
547	17171	1629
548	17199	1597
549	17230	1566
550	17254	1534
551	17277	1502
552	17301	1470
553	17331	1439
554	17360	1407
555	17389	1376
556	17417	1344
557	17441	1312
558	17470	1281
559	17497	1249
560	17525	1218
561	17556	1187
562	17584	1155
563	17614	1124
564	17642	1092
565	17665	1061
566	17692	1029
567	17719	998
568	17742	966
569	17766	935
570	17790	903
571	17814	872
572	17837	840
573	17864	809
574	17887	777
575	17914	746
576	17938	715
577	17964	683
578	17987	652
579	18013	621
580	18038	589
581	18064	558
582	18090	527
583	18119	496
584	18145	465
585	18171	434
586	18197	403
587	18221	371
588	18249	340
589	18273	309
590	18300	278
591	18328	247
592	18354	216
593	18378	185
594	18404	154
595	18432	123
596	18461	92
597	18486	61
598	18512	30
599	18541	0
